probeID,staSeq,mDateTime,temp,uom,collector,probeType,fileName,dataFlag,comment,createDate,createUser,lastUpdateDate,lastUpdateUser
280706,15533,3/4/2004 12:46,4.57,deg C,ABM,HOBO,QC_280706_15533_Water_20040301_20040308.csv,P,None,8/29/2025 12:45,Upload,8/29/2025 12:45,Upload
280706,15533,3/4/2004 13:46,4.57,deg C,ABM,HOBO,QC_280706_15533_Water_20040301_20040308.csv,P,None,8/29/2025 12:45,Upload,8/29/2025 12:45,Upload
280706,15533,3/4/2004 14:46,4.57,deg C,ABM,HOBO,QC_280706_15533_Water_20040301_20040308.csv,P,None,8/29/2025 12:45,Upload,8/29/2025 12:45,Upload
280706,15533,3/4/2004 15:46,4.57,deg C,ABM,HOBO,QC_280706_15533_Water_20040301_20040308.csv,P,None,8/29/2025 12:45,Upload,8/29/2025 12:45,Upload
280706,15533,3/4/2004 16:46,4.41,deg C,ABM,HOBO,QC_280706_15533_Water_20040301_20040308.csv,P,None,8/29/2025 12:45,Upload,8/29/2025 12:45,Upload
280706,15533,3/4/2004 17:46,4.41,deg C,ABM,HOBO,QC_280706_15533_Water_20040301_20040308.csv,P,None,8/29/2025 12:45,Upload,8/29/2025 12:45,Upload
280706,15533,3/4/2004 18:46,4.57,deg C,ABM,HOBO,QC_280706_15533_Water_20040301_20040308.csv,P,None,8/29/2025 12:45,Upload,8/29/2025 12:45,Upload
280706,15533,3/4/2004 19:46,4.57,deg C,ABM,HOBO,QC_280706_15533_Water_20040301_20040308.csv,P,None,8/29/2025 12:45,Upload,8/29/2025 12:45,Upload
280706,15533,3/4/2004 20:46,4.41,deg C,ABM,HOBO,QC_280706_15533_Water_20040301_20040308.csv,P,None,8/29/2025 12:45,Upload,8/29/2025 12:45,Upload
280706,15533,3/4/2004 21:46,4.41,deg C,ABM,HOBO,QC_280706_15533_Water_20040301_20040308.csv,P,None,8/29/2025 12:45,Upload,8/29/2025 12:45,Upload
280706,15533,3/4/2004 22:46,4.41,deg C,ABM,HOBO,QC_280706_15533_Water_20040301_20040308.csv,P,None,8/29/2025 12:45,Upload,8/29/2025 12:45,Upload
280706,15533,3/4/2004 23:46,4.41,deg C,ABM,HOBO,QC_280706_15533_Water_20040301_20040308.csv,P,None,8/29/2025 12:45,Upload,8/29/2025 12:45,Upload
280706,15533,3/5/2004 0:46,4.26,deg C,ABM,HOBO,QC_280706_15533_Water_20040301_20040308.csv,P,None,8/29/2025 12:45,Upload,8/29/2025 12:45,Upload
280706,15533,3/5/2004 1:46,4.1,deg C,ABM,HOBO,QC_280706_15533_Water_20040301_20040308.csv,P,None,8/29/2025 12:45,Upload,8/29/2025 12:45,Upload
280706,15533,3/5/2004 2:46,4.1,deg C,ABM,HOBO,QC_280706_15533_Water_20040301_20040308.csv,P,None,8/29/2025 12:45,Upload,8/29/2025 12:45,Upload
280706,15533,3/5/2004 3:46,4.1,deg C,ABM,HOBO,QC_280706_15533_Water_20040301_20040308.csv,P,None,8/29/2025 12:45,Upload,8/29/2025 12:45,Upload
280706,15533,3/5/2004 4:46,3.94,deg C,ABM,HOBO,QC_280706_15533_Water_20040301_20040308.csv,P,None,8/29/2025 12:45,Upload,8/29/2025 12:45,Upload
