"SID","SummerTemp","SN","TempCatS","JulyTemp","JN","TempCatJ","MaxD","MN","TempCatM","Max24.9","Max27","Flag","Year","Collector"
"14129",18.3605266927083,64,"Cool",18.346501344086,31,"Cold",20.3137083333333,186,"Cold",0,0,1,"2015","ABM"
"14147",20.836875,92,"Cool",21.4109462365591,31,"Cool",23.6289166666667,232,"Cool",0,0,NA,"2015","ABM"
"14153",22.695555952381,70,"Warm",22.9713360215054,31,"Warm",25.6477083333333,192,"Cool",25,2,1,"2015","ABM"
"14172",19.1126566123188,92,"Cool",20.0682190860215,31,"Cool",22.7922916666667,365,"Cool",0,0,NA,"2015","ABM"
"14174",22.2128088768116,92,"Warm",23.313436827957,31,"Warm",26.0425,365,"Cool",35,10,NA,"2015","ABM"
"14195",19.8117798007246,92,"Cool",20.5813458333333,30,"Cool",23.52525,365,"Cool",0,0,1,"2015","ABM"
"14197",18.6946648550725,92,"Cool",18.2155282258065,31,"Cold",24.0555416666667,365,"Cool",7,0,NA,"2015","ABM"
"14206",22.7745774456522,92,"Warm",23.972313172043,31,"Warm",26.0279166666667,365,"Cool",56,14,NA,"2015","ABM"
"14209",17.0241735793288,92,"Cold",17.6618198924731,31,"Cold",19.4136666666667,365,"Cold",0,0,NA,"2015","ABM"
"14221",20.3779277832675,92,"Cool",21.3937862903226,31,"Cool",24.114625,365,"Cool",0,0,NA,"2015","ABM"
"14226",20.7180039251208,92,"Cool",21.5473279569892,31,"Cool",24.2495416666667,365,"Cool",8,0,NA,"2015","ABM"
"14247",19.1032907608696,92,"Cool",19.7403611111111,30,"Cool",22.66375,365,"Cool",0,0,1,"2015","ABM"
"14251",21.7572149456522,92,"Warm",22.0864138888889,30,"Cool",25.5197083333333,365,"Cool",29,1,1,"2015","ABM"
"14278",23.6751730072464,92,"Warm",24.8470752688172,31,"Warm",27.1392083333333,365,"Warm",73,25,NA,"2015","ABM"
"14284",21.3388452596618,92,"Cool",22.3577083333333,31,"Warm",25.1022916666667,365,"Cool",19,1,NA,"2015","ABM"
"14288",21.7082989130435,92,"Warm",22.7052607526882,31,"Warm",25.14475,365,"Cool",15,0,NA,"2015","ABM"
"14308",19.180439160628,92,"Cool",20.0703857526882,31,"Cool",21.9370416666667,365,"Cold",0,0,NA,"2015","ABM"
"14316",22.8227185990338,92,"Warm",23.6435349462366,31,"Warm",26.6155416666667,365,"Warm",48,11,NA,"2015","ABM"
"14317",23.2247301630435,92,"Warm",24.1587392473118,31,"Warm",27.399125,365,"Warm",76,44,NA,"2015","ABM"
"14319",21.1686879528986,92,"Cool",21.9887002688172,31,"Cool",24.6315833333333,365,"Cool",12,0,NA,"2015","ABM"
"14358",21.1081646405416,92,"Cool",21.8505040322581,31,"Cool",24.53975,365,"Cool",2,0,NA,"2015","ABM"
"14360",21.2451686292271,92,"Cool",22.1752016129032,31,"Cool",24.880125,365,"Cool",11,0,NA,"2015","ABM"
"14361",21.4304164855072,92,"Cool",22.2051787634409,31,"Cool",25.8117083333333,365,"Cool",52,28,NA,"2015","ABM"
"14362",21.4242531702899,92,"Cool",22.5519610215054,31,"Warm",25.44475,365,"Cool",13,0,NA,"2015","ABM"
"14370",20.6568440087992,92,"Cool",21.4656196236559,31,"Cool",24.0865833333333,365,"Cool",2,0,NA,"2015","ABM"
"14379",22.789997826087,92,"Warm",23.5868924731183,31,"Warm",26.3415,365,"Warm",44,3,NA,"2015","ABM"
"14390",18.5261033902691,92,"Cool",19.2615739247312,31,"Cool",21.701625,365,"Cold",0,0,NA,"2015","ABM"
"14392",19.8728349637681,92,"Cool",20.4944112903226,31,"Cool",22.8739166666667,365,"Cool",0,0,NA,"2015","ABM"
"14394",21.1116242753623,92,"Cool",21.9244777777778,30,"Cool",24.6000416666667,365,"Cool",2,0,1,"2015","ABM"
"14404",20.2445581219807,92,"Cool",21.2666069444444,30,"Cool",23.6324166666667,365,"Cool",1,0,1,"2015","ABM"
"14410",22.5904039855072,92,"Warm",23.6392365591398,31,"Warm",26.2000416666667,365,"Cool",52,19,NA,"2015","ABM"
"14413",19.7418149154589,92,"Cool",20.4255282258065,31,"Cool",22.616875,365,"Cool",0,0,NA,"2015","ABM"
"14414",21.4244884057971,92,"Cool",22.209247311828,31,"Cool",24.3880416666667,365,"Cool",8,0,NA,"2015","ABM"
"14441",19.951500634058,92,"Cool",21.1299139784946,31,"Cool",23.8836666666667,365,"Cool",22,2,NA,"2015","ABM"
"14442",19.1595267210145,92,"Cool",19.8500456989247,31,"Cool",22.2490833333333,365,"Cold",1,0,NA,"2015","ABM"
"14444",20.9193941647597,92,"Cool",21.9433508064516,31,"Cool",24.3071666666667,365,"Cool",6,0,NA,"2015","ABM"
"14445",19.7310971143892,92,"Cool",20.8111478494624,31,"Cool",23.049625,365,"Cool",0,0,NA,"2015","ABM"
"14450",21.7253181935818,92,"Warm",22.76115,30,"Warm",26.0821666666667,365,"Cool",34,6,1,"2015","ABM"
"14451",22.3885951086957,92,"Warm",23.494189516129,31,"Warm",25.6473333333333,365,"Cool",43,8,NA,"2015","ABM"
"14456",20.489006884058,92,"Cool",21.4413454301075,31,"Cool",24.38325,365,"Cool",12,0,NA,"2015","ABM"
"14458",21.1017343955863,92,"Cool",21.7681875,30,"Cool",24.3713333333333,365,"Cool",6,0,1,"2015","ABM"
"14470",17.6728695652174,92,"Cold",18.4163387096774,31,"Cold",20.2185,365,"Cold",0,0,NA,"2015","ABM"
"14473",21.5141999413896,92,"Cool",22.7461491935484,31,"Warm",25.6597916666667,365,"Cool",18,1,NA,"2015","ABM"
"14479",22.1998677536232,92,"Warm",23.1474744623656,31,"Warm",26.0714166666667,253,"Cool",74,36,NA,"2015","ABM"
"14484",18.2707060688406,92,"Cold",18.8714596774194,31,"Cool",21.3707916666667,365,"Cold",0,0,NA,"2015","ABM"
"14490",19.6414768198287,92,"Cool",20.5269946236559,31,"Cool",22.94775,365,"Cool",0,0,NA,"2015","ABM"
"14523",15.5071791666667,50,"Cold",15.527099537037,18,"Cold",18.37525,172,"Cold",0,0,1,"2015","ABM"
"14553",20.915169384058,92,"Cool",21.8796088709677,31,"Cool",24.537,365,"Cool",5,0,NA,"2015","ABM"
"14584",18.6787998188406,92,"Cool",19.4508938172043,31,"Cool",21.5492916666667,365,"Cold",0,0,NA,"2015","ABM"
"14591",19.8070357789855,92,"Cool",20.6906801075269,31,"Cool",23.0245416666667,365,"Cool",0,0,NA,"2015","ABM"
"14598",24.0273460144928,92,"Warm",24.8860752688172,31,"Warm",27.3667916666667,365,"Warm",69,47,NA,"2015","ABM"
"14601",19.2941426630435,92,"Cool",20.3471532258065,31,"Cool",22.534875,365,"Cool",0,0,NA,"2015","ABM"
"14602",18.5020951086957,92,"Cool",19.2817594086021,31,"Cool",21.3759166666667,365,"Cold",0,0,NA,"2015","ABM"
"14605",20.4590660714286,70,"Cool",20.5946182795699,31,"Cool",22.6269583333333,192,"Cool",0,0,1,"2015","ABM"
"14609",23.8300066287879,88,"Warm",24.5065053763441,31,"Warm",26.8544166666667,210,"Warm",68,39,1,"2015","ABM"
"14669",23.5803777173913,92,"Warm",24.6129838709677,31,"Warm",26.458,365,"Warm",67,26,NA,"2015","ABM"
"14687",18.0760183333333,45,"Cold",19.3538422619048,14,"Cool",21.8875833333333,296,"Cold",1,0,1,"2015","ABM"
"14706",20.7172059782609,92,"Cool",21.6706599462366,31,"Cool",23.9615416666667,365,"Cool",8,0,NA,"2015","ABM"
"14720",18.3016618754767,92,"Cool",19.0413870967742,31,"Cool",21.6885416666667,257,"Cold",0,0,NA,"2015","ABM"
"14721",19.8955857336957,92,"Cool",21.1113924731183,31,"Cool",23.1078333333333,365,"Cool",0,0,NA,"2015","ABM"
"14740",16.0328827160494,54,"Cold",14.4107935606061,22,"Cold",38.0608333333333,205,"Warm",13,13,1,"2015","ABM"
"14741",19.6516941336317,92,"Cool",20.3805215053763,31,"Cool",22.7454166666667,365,"Cool",0,0,NA,"2015","ABM"
"14792",20.6516162280702,92,"Cool",21.5598938172043,31,"Cool",24.3421666666667,365,"Cool",5,0,NA,"2015","ABM"
"14800",18.66336010763,92,"Cool",19.5616152777778,30,"Cool",21.8899166666667,365,"Cold",0,0,1,"2015","ABM"
"14819",16.449518115942,92,"Cold",17.0808494623656,31,"Cold",20.0234166666667,365,"Cold",0,0,NA,"2015","ABM"
"14825",23.3800007440476,56,"Warm",23.3724947916667,24,"Warm",26.1127916666667,178,"Cool",32,3,1,"2015","ABM"
"14842",17.9050230855856,74,"Cold",17.9471774193548,31,"Cold",20.699,196,"Cold",0,0,1,"2015","ABM"
"14866",19.0225919384058,92,"Cool",20.2659005376344,31,"Cool",22.5775416666667,232,"Cool",0,0,NA,"2015","ABM"
"14880",15.3109139754041,92,"Cold",15.8552030345327,31,"Cold",19.59159375,365,"Cold",1,1,NA,"2015","ABM"
"15004",21.7438848505435,92,"Warm",22.1532274865591,31,"Cool",25.7511041666667,365,"Cool",45,23,NA,"2015","ABM"
"15005",19.4520682582816,92,"Cool",20.4232222222222,30,"Cool",22.672375,365,"Cool",8,0,1,"2015","ABM"
"15013",19.8769450562548,92,"Cool",20.7347916666667,31,"Cool",23.2645,365,"Cool",1,0,NA,"2015","ABM"
"15020",20.4855505577803,92,"Cool",21.5503319892473,31,"Cool",23.9860416666667,365,"Cool",5,0,NA,"2015","ABM"
"15051",19.5959031702899,92,"Cool",20.3393494623656,31,"Cool",22.9776666666667,365,"Cool",5,0,NA,"2015","ABM"
"15087",19.5837303743961,92,"Cool",20.4887056451613,31,"Cool",22.5302083333333,365,"Cool",0,0,NA,"2015","ABM"
"15151",21.3982659970238,92,"Cool",22.8324731182796,31,"Warm",24.6225,365,"Cool",17,0,NA,"2015","ABM"
"15171",19.0007817460317,84,"Cool",19.6041330645161,31,"Cool",21.240875,206,"Cold",0,0,1,"2015","ABM"
"15179",20.8108809830282,92,"Cool",21.7829704301075,31,"Cool",24.7180416666667,365,"Cool",19,1,NA,"2015","ABM"
"15201",19.7439849113272,92,"Cool",20.2960456989247,31,"Cool",23.484875,365,"Cool",9,0,NA,"2015","ABM"
"15239",20.5617259248665,92,"Cool",21.8104153225806,31,"Cool",24.9466666666667,365,"Cool",3,0,NA,"2015","ABM"
"15240",17.9759901871981,92,"Cold",18.6215456989247,31,"Cool",20.9977916666667,365,"Cold",0,0,NA,"2015","ABM"
"15304",18.3403908514493,92,"Cool",19.1851290322581,31,"Cool",21.7969166666667,365,"Cold",0,0,NA,"2015","ABM"
"15312",20.2089402173913,92,"Cool",21.2327701612903,31,"Cool",24.0730833333333,365,"Cool",7,0,NA,"2015","ABM"
"15315",17.7534769021739,92,"Cold",18.4457029569892,31,"Cold",21.688625,365,"Cold",0,0,NA,"2015","ABM"
"15319",20.8486970108696,92,"Cool",21.7256827956989,31,"Cool",23.9842083333333,365,"Cool",9,0,NA,"2015","ABM"
"15333",21.8156360507246,92,"Warm",22.8904247311828,31,"Warm",26.0720416666667,365,"Cool",38,3,NA,"2015","ABM"
"15357",20.3335017468944,92,"Cool",21.2601370967742,31,"Cool",23.7790833333333,365,"Cool",1,0,NA,"2015","ABM"
"15479",19.4354365142796,92,"Cool",20.215873655914,31,"Cool",22.7012083333333,365,"Cool",1,0,NA,"2015","ABM"
"15499",18.0632763586957,92,"Cold",18.6811438172043,31,"Cool",21.026,365,"Cold",0,0,NA,"2015","ABM"
"15520",15.3995471014493,92,"Cold",15.8136330645161,31,"Cold",18.3276666666667,365,"Cold",0,0,NA,"2015","ABM"
"15530",19.3242673233696,92,"Cool",20.0985315860215,31,"Cool",22.9664583333333,365,"Cool",8,0,NA,"2015","ABM"
"15571",18.9770525362319,92,"Cool",19.7988857526882,31,"Cool",22.2902916666667,365,"Cold",0,0,NA,"2015","ABM"
"15703",17.6527998188406,92,"Cold",18.2894206989247,31,"Cold",20.729375,365,"Cold",0,0,NA,"2015","ABM"
"15719",20.0202083333333,92,"Cool",21.1795134408602,31,"Cool",23.2685416666667,365,"Cool",0,0,NA,"2015","ABM"
"15783",18.0563414855072,92,"Cold",18.8919314516129,31,"Cool",21.101375,365,"Cold",0,0,NA,"2015","ABM"
"15792",11.6501960144928,92,"Cold",10.1594569892473,31,"Cold",21.0715,365,"Cold",0,0,NA,"2015","ABM"
"15795",15.8698482789855,92,"Cold",14.9118682795699,31,"Cold",22.5522222222222,365,"Cool",0,0,NA,"2015","ABM"
"15796",18.6663663949275,92,"Cool",19.5972540322581,31,"Cool",21.8919583333333,365,"Cold",0,0,NA,"2015","ABM"
"15825",15.125329954955,74,"Cold",13.2245551075269,31,"Cold",22.1911666666667,319,"Cold",0,0,1,"2015","ABM"
"15901",20.1849808488613,92,"Cool",21.1903884408602,31,"Cool",23.1191666666667,365,"Cool",0,0,NA,"2015","ABM"
"15964",16.359455615942,92,"Cold",16.7922674731183,31,"Cold",20.068625,365,"Cold",0,0,NA,"2015","ABM"
"15994",20.4043024691358,54,"Cool",20.8489924242424,22,"Cool",23.4635416666667,176,"Cool",0,0,1,"2015","ABM"
"15999",19.6001711479786,92,"Cool",20.3588125,30,"Cool",22.8655789473684,365,"Cool",1,0,1,"2015","ABM"
"16022",19.8647878787879,55,"Cool",20.4130760869565,23,"Cool",23.1395833333333,177,"Cool",1,0,1,"2015","ABM"
"16066",20.8967588638716,92,"Cool",20.9903225806452,31,"Cool",25.1194166666667,365,"Cool",8,0,NA,"2015","ABM"
"16076",22.0499621623847,92,"Warm",22.5167916666667,30,"Warm",26.0544166666667,365,"Cool",53,16,1,"2015","ABM"
"16080",17.8571262681159,92,"Cold",18.4803360215054,31,"Cool",21.2872083333333,365,"Cold",0,0,NA,"2015","ABM"
"16110",13.2791448083524,92,"Cold",14.1677177419355,31,"Cold",20.163375,365,"Cold",0,0,NA,"2015","ABM"
"16112",18.9404101353928,92,"Cool",19.8672352150538,31,"Cool",22.1485833333333,365,"Cold",0,0,NA,"2015","ABM"
"16114",17.3677084525172,92,"Cold",17.9566451612903,31,"Cold",20.6489583333333,365,"Cold",0,0,NA,"2015","ABM"
"16119",17.9866038949275,92,"Cold",18.7733655913978,31,"Cool",20.823875,365,"Cold",0,0,NA,"2015","ABM"
"16121",17.5087673913043,92,"Cold",18.5639005376344,31,"Cool",20.6875833333333,365,"Cold",0,0,NA,"2015","ABM"
"16122",17.8403812073743,92,"Cold",18.8341048387097,31,"Cool",21.141375,365,"Cold",0,0,NA,"2015","ABM"
"16124",17.8321844255156,92,"Cold",18.6938484026055,31,"Cool",20.99634375,365,"Cold",1,1,NA,"2015","ABM"
"16125",16.1222116666667,50,"Cold",16.3709467592593,18,"Cold",17.7470833333333,172,"Cold",0,0,1,"2015","ABM"
"16126",18.5959012681159,92,"Cool",19.0399932795699,31,"Cool",22.2640416666667,365,"Cold",0,0,NA,"2015","ABM"
"16127",17.0337921195652,92,"Cold",17.9077271505376,31,"Cold",19.5079166666667,365,"Cold",0,0,NA,"2015","ABM"
"16128",20.6557898550725,92,"Cool",21.8472661290323,31,"Cool",23.930375,365,"Cool",8,0,NA,"2015","ABM"
"16131",21.6083630599473,92,"Cool",22.7714610215054,31,"Warm",24.9895833333333,365,"Cool",15,1,NA,"2015","ABM"
"16139",18.6761108091787,92,"Cool",19.45835640681,31,"Cool",21.8265833333333,365,"Cold",36,24,NA,"2015","ABM"
"16141",19.3472122282609,92,"Cool",20.1649152777778,30,"Cool",22.5709583333333,365,"Cool",0,0,1,"2015","ABM"
"16143",18.3300266304348,92,"Cool",19.0834233870968,31,"Cool",21.5153333333333,365,"Cold",0,0,NA,"2015","ABM"
"16191",17.0047068554539,92,"Cold",17.7494408602151,31,"Cold",19.814375,365,"Cold",0,0,NA,"2015","ABM"
"16261",19.126706884058,92,"Cool",20.0259072580645,31,"Cool",22.5434166666667,365,"Cool",0,0,NA,"2015","ABM"
"16268",22.8883029513889,48,"Warm",23.8256770833333,16,"Warm",26.073625,83,"Cool",13,1,1,"2015","ABM"
"16271",17.2888532608696,92,"Cold",17.9218413978495,31,"Cold",20.2732083333333,365,"Cold",0,0,NA,"2015","ABM"
"16288",18.8931239432367,92,"Cool",19.9672405913979,31,"Cool",22.1991666666667,365,"Cold",0,0,NA,"2015","ABM"
"16295",20.5383919384058,92,"Cool",21.4097271505376,31,"Cool",23.9380416666667,365,"Cool",2,0,NA,"2015","ABM"
"16335",19.3626940270673,92,"Cool",20.3175666666667,30,"Cool",23.3155833333333,365,"Cool",1,0,1,"2015","ABM"
"16370",18.3724202898551,92,"Cool",19.1693051075269,31,"Cool",21.4582916666667,365,"Cold",0,0,NA,"2015","ABM"
"16387",16.2711344393593,92,"Cold",16.8969879032258,31,"Cold",19.123375,365,"Cold",0,0,NA,"2015","ABM"
