"SID","SummerTemp","SN","TempCatS","JulyTemp","JN","TempCatJ","MaxD","MN","TempCatM","Max24.9","Max27","Flag","Year","Collector"
"14128",22.3810136904762,70,"Warm",22.5513938172043,31,"Warm",26.35275,99,"Warm",44,16,1,"2016","ABM"
"14129",18.1378600543478,92,"Cold",18.8064744623656,31,"Cool",21.817375,366,"Cold",0,0,NA,"2016","ABM"
"14147",23.037915307971,92,"Warm",24.1229784946237,31,"Warm",26.265375,366,"Cool",41,9,NA,"2016","ABM"
"14179",22.4455,85,"Warm",23.5214260752688,31,"Warm",26.766625,207,"Warm",88,72,1,"2016","ABM"
"14183",21.0274098173516,73,"Cool",21.141626344086,31,"Cool",24.6542916666667,99,"Cool",4,0,1,"2016","ABM"
"14186",19.8624451992754,92,"Cool",20.5727741935484,31,"Cool",24.2843333333333,136,"Cool",2,0,NA,"2016","ABM"
"14197",21.8144030797101,92,"Warm",22.1285107526882,31,"Cool",27.9789583333333,366,"Warm",47,24,NA,"2016","ABM"
"14209",17.4328297101449,92,"Cold",17.9958844086022,31,"Cold",20.7797083333333,274,"Cold",1,0,NA,"2016","ABM"
"14235",23.0643863224638,92,"Warm",23.9195201612903,31,"Warm",26.7942916666667,121,"Warm",55,17,NA,"2016","ABM"
"14241",22.7761856884058,92,"Warm",23.6001370967742,31,"Warm",26.55375,121,"Warm",75,34,NA,"2016","ABM"
"14247",20.3358382167612,92,"Cool",21.220061827957,31,"Cool",24.5965416666667,271,"Cool",4,0,NA,"2016","ABM"
"14251",23.8078285866081,92,"Warm",25.0227594086022,31,"Warm",27.2019583333333,366,"Warm",68,33,NA,"2016","ABM"
"14254",24.8075057077626,73,"Warm",25.0017083333333,31,"Warm",27.1909583333333,195,"Warm",60,20,1,"2016","ABM"
"14280",20.4020751811594,92,"Cool",21.3840067204301,31,"Cool",25.0727916666667,136,"Cool",18,0,NA,"2016","ABM"
"14316",24.6315326086957,92,"Warm",25.7311935483871,31,"Warm",28.7047916666667,366,"Warm",73,35,NA,"2016","ABM"
"14317",24.571227807971,92,"Warm",25.637247311828,31,"Warm",28.9989583333333,366,"Warm",93,61,NA,"2016","ABM"
"14319",22.4689110869565,92,"Warm",23.4977607526882,31,"Warm",26.6583333333333,366,"Warm",40,13,NA,"2016","ABM"
"14332",24.5167450181159,92,"Warm",25.3949045698925,31,"Warm",28.5550416666667,136,"Warm",95,65,NA,"2016","ABM"
