"SID","SummerTemp","SN","TempCatS","JulyTemp","JN","TempCatJ","MaxD","MN","TempCatM","Max24.9","Max27","Flag","Year","Collector"
"14147",20.472316576087,92,"Cool",22.4918051075269,31,"Warm",24.9334166666667,365,"Cool",8,0,NA,"2013","ABM"
"14153",21.3667357336957,92,"Cool",23.761247983871,31,"Warm",26.7579583333333,365,"Warm",20,10,NA,"2013","ABM"
"14172",19.970290307971,92,"Cool",22.3614139784946,31,"Warm",24.986625,365,"Cool",4,0,NA,"2013","ABM"
"14174",22.0413111413043,92,"Warm",24.6574946236559,31,"Warm",27.8273333333333,365,"Warm",22,12,NA,"2013","ABM"
"14195",20.2468872282609,92,"Cool",22.4831774193548,31,"Warm",25.1225,365,"Cool",4,0,NA,"2013","ABM"
"14197",19.5445230978261,92,"Cool",21.1663682795699,31,"Cool",23.3527083333333,365,"Cool",2,0,NA,"2013","ABM"
"14202",21.7593917572464,92,"Warm",23.7162594086022,31,"Warm",25.639125,295,"Cool",17,1,NA,"2013","ABM"
"14206",22.8477572463768,92,"Warm",25.4875080645161,31,"Warm",28.554,365,"Warm",30,17,NA,"2013","ABM"
"14221",20.3109986413043,92,"Cool",22.5535376344086,31,"Warm",25.1115416666667,365,"Cool",6,0,NA,"2013","ABM"
"14226",20.7998319746377,92,"Cool",22.8712338709677,31,"Warm",25.2024166666667,365,"Cool",12,0,NA,"2013","ABM"
"14247",18.7282001811594,92,"Cool",21.0111438172043,31,"Cool",23.6592083333333,365,"Cool",1,0,NA,"2013","ABM"
"14277",20.5739270833333,92,"Cool",23.0597311827957,31,"Warm",26.41925,270,"Warm",14,3,NA,"2013","ABM"
"14278",23.2973111413043,92,"Warm",26.2270752688172,31,"Warm",30.1258333333333,270,"Warm",47,22,NA,"2013","ABM"
"14284",21.1076096014493,92,"Cool",23.2663696236559,31,"Warm",25.9675416666667,365,"Cool",14,0,NA,"2013","ABM"
"14288",21.9330720108696,92,"Warm",24.2970295698925,31,"Warm",27.3889583333333,277,"Warm",18,5,NA,"2013","ABM"
"14308",20.4112604166667,92,"Cool",22.6655658602151,31,"Warm",24.8059166666667,254,"Cool",4,0,NA,"2013","ABM"
"14316",21.8731354166667,92,"Warm",24.7759072580645,31,"Warm",28.7974583333333,365,"Warm",17,8,NA,"2013","ABM"
"14317",22.5198573369565,92,"Warm",25.1225564516129,31,"Warm",28.7117083333333,365,"Warm",45,17,NA,"2013","ABM"
"14358",21.0620833333333,92,"Cool",23.0405591397849,31,"Warm",24.894875,365,"Cool",10,0,NA,"2013","ABM"
"14361",21.1450054347826,92,"Cool",23.3610591397849,31,"Warm",26.647125,365,"Warm",20,8,NA,"2013","ABM"
"14362",21.8053111413043,92,"Warm",24.2846182795699,31,"Warm",27.3578333333333,365,"Warm",25,11,NA,"2013","ABM"
"14377",21.1855865036232,92,"Cool",23.644438172043,31,"Warm",25.8113333333333,294,"Cool",17,2,NA,"2013","ABM"
"14379",22.2919501811594,92,"Warm",24.6559489247312,31,"Warm",27.6279166666667,365,"Warm",18,7,NA,"2013","ABM"
"14390",18.2382857789855,92,"Cold",19.9407056451613,31,"Cool",22.0814166666667,365,"Cold",0,0,NA,"2013","ABM"
"14392",19.7020448369565,92,"Cool",21.4959663978495,31,"Cool",23.6757083333333,365,"Cool",1,0,NA,"2013","ABM"
"14394",21.1815711050725,92,"Cool",23.4281841397849,31,"Warm",26.3657916666667,365,"Warm",13,3,NA,"2013","ABM"
"14404",20.2328550724638,92,"Cool",22.5142365591398,31,"Warm",25.6899583333333,243,"Cool",8,0,NA,"2013","ABM"
"14410",22.5599112318841,92,"Warm",25.2191478494624,31,"Warm",28.809125,365,"Warm",30,14,NA,"2013","ABM"
"14413",19.9502563405797,92,"Cool",21.8458534946237,31,"Cool",24.046375,365,"Cool",0,0,NA,"2013","ABM"
"14414",21.3721213768116,92,"Cool",23.4660685483871,31,"Warm",26.127875,365,"Cool",14,1,NA,"2013","ABM"
"14442",19.4109402173913,92,"Cool",21.9387419354839,31,"Cool",24.6177083333333,365,"Cool",9,0,NA,"2013","ABM"
"14444",20.8558786231884,92,"Cool",23.309997311828,31,"Warm",26.3195833333333,365,"Warm",13,2,NA,"2013","ABM"
"14450",21.5299125905797,92,"Cool",24.0304206989247,31,"Warm",27.4630416666667,365,"Warm",22,11,NA,"2013","ABM"
"14451",21.7908197463768,92,"Warm",24.5139569892473,31,"Warm",27.6031666666667,365,"Warm",17,7,NA,"2013","ABM"
"14456",20.3504587862319,92,"Cool",22.696752688172,31,"Warm",25.9359166666667,365,"Cool",12,0,NA,"2013","ABM"
"14458",21.62553125,92,"Cool",23.6823669354839,31,"Warm",26.6983333333333,365,"Warm",16,3,NA,"2013","ABM"
"14461",20.2810869565217,92,"Cool",22.8319341397849,31,"Warm",25.729375,365,"Cool",12,2,NA,"2013","ABM"
"14470",18.2768786231884,92,"Cold",20.2823024193548,31,"Cool",22.6416666666667,365,"Cool",0,0,NA,"2013","ABM"
"14473",21.6548378623188,92,"Cool",24.1005994623656,31,"Warm",27.4404166666667,365,"Warm",19,7,NA,"2013","ABM"
"14479",21.8215765398551,92,"Warm",24.0596411290323,31,"Warm",27.0843333333333,365,"Warm",28,12,NA,"2013","ABM"
"14484",18.0845285326087,92,"Cold",20.1423494623656,31,"Cool",22.659625,236,"Cool",2,0,NA,"2013","ABM"
"14490",20.2873985507246,92,"Cool",22.4026841397849,31,"Warm",25.0177083333333,254,"Cool",6,0,NA,"2013","ABM"
"14520",20.3429085144928,92,"Cool",22.4517836021505,31,"Warm",25.1892916666667,291,"Cool",13,2,NA,"2013","ABM"
"14581",22.2194601449275,92,"Warm",25.0168077956989,31,"Warm",28.2565833333333,284,"Warm",24,14,NA,"2013","ABM"
"14584",19.1934338768116,92,"Cool",21.6110067204301,31,"Cool",24.0616666666667,365,"Cool",3,0,NA,"2013","ABM"
"14591",20.0570022644928,92,"Cool",22.6241747311828,31,"Warm",25.7528333333333,365,"Cool",10,0,NA,"2013","ABM"
"14594",21.2549538043478,92,"Cool",23.9346344086022,31,"Warm",27.0171666666667,270,"Warm",16,4,NA,"2013","ABM"
"14598",23.3845507246377,92,"Warm",26.0735053763441,31,"Warm",29.3188333333333,365,"Warm",38,16,NA,"2013","ABM"
"14602",18.6034302536232,92,"Cool",20.6906344086022,31,"Cool",23.1404583333333,365,"Cool",0,0,NA,"2013","ABM"
"14605",20.117777173913,92,"Cool",22.2163252688172,31,"Cool",24.8415833333333,365,"Cool",5,0,NA,"2013","ABM"
"14609",23.3685855978261,92,"Warm",26.085873655914,31,"Warm",28.936375,365,"Warm",47,17,NA,"2013","ABM"
"14669",23.2501422101449,92,"Warm",26.0476061827957,31,"Warm",28.900875,252,"Warm",28,15,NA,"2013","ABM"
"14687",19.2751721014493,92,"Cool",21.4922204301075,31,"Cool",24.0736666666667,365,"Cool",3,0,NA,"2013","ABM"
"14706",21.3096657608696,92,"Cool",23.7418024193548,31,"Warm",26.346625,250,"Warm",20,7,NA,"2013","ABM"
"14720",18.346834692029,92,"Cool",20.3570376344086,31,"Cool",22.9547916666667,365,"Cool",0,0,NA,"2013","ABM"
"14721",20.3709402173913,92,"Cool",22.6335833333333,31,"Warm",25.0657083333333,250,"Cool",12,0,NA,"2013","ABM"
"14740",18.862509057971,92,"Cool",20.9251572580645,31,"Cool",24.119,365,"Cool",2,0,NA,"2013","ABM"
"14741",20.1498057065217,92,"Cool",22.4142002688172,31,"Warm",24.8199583333333,365,"Cool",7,0,NA,"2013","ABM"
"14800",18.9120036231884,92,"Cool",21.174563172043,31,"Cool",23.6768333333333,365,"Cool",1,0,NA,"2013","ABM"
"14819",16.5330022644928,92,"Cold",18.7891586021505,31,"Cool",21.7867916666667,365,"Cold",0,0,NA,"2013","ABM"
"14842",17.5685552536232,92,"Cold",19.8361612903226,31,"Cool",22.3672083333333,365,"Cold",0,0,NA,"2013","ABM"
"15005",20.2035620471014,92,"Cool",22.8773360215054,31,"Warm",25.3253333333333,365,"Cool",14,3,NA,"2013","ABM"
"15013",19.6728727355072,92,"Cool",21.6864717741935,31,"Cool",24.0932083333333,267,"Cool",1,0,NA,"2013","ABM"
"15020",20.1412653985507,92,"Cool",22.6529072580645,31,"Warm",25.0599583333333,365,"Cool",7,0,NA,"2013","ABM"
"15087",20.2151739130435,92,"Cool",22.4014825268817,31,"Warm",24.6510833333333,365,"Cool",7,0,NA,"2013","ABM"
"15151",21.7706435688406,92,"Warm",24.5187016129032,31,"Warm",27.4604166666667,365,"Warm",20,9,NA,"2013","ABM"
"15171",19.1415208333333,92,"Cool",21.3004798387097,31,"Cool",23.7346666666667,365,"Cool",1,0,NA,"2013","ABM"
"15201",19.8689764492754,92,"Cool",21.532997311828,31,"Cool",23.8820416666667,254,"Cool",5,0,NA,"2013","ABM"
